Project_Name,Project_URL,Project_Hash,Test_id,OD_Type,Polluter_or_Setter,Cleaner,Path,SHA
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_progress_bars,victim,test/test_histogram.py::test_histogram_time_steps,test/test_occam_data.py::test_occam_data_save_load,OccamTools/ipflakies_result/aa1c2149/patch/test_occam_data_patch_f5595f1a.patch,fcaaac4fb7257605d5675c1a66f6a020373258a8
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_progress_bars,victim,test/test_occam_data.py::test_occam_data_not_equal,test/test_occam_data.py::test_occam_data_save_load,OccamTools/ipflakies_result/aa1c2149/patch/test_occam_data_patch_f5595f1a.patch,fcaaac4fb7257605d5675c1a66f6a020373258a8
Tale,https://github.com/irmen/Tale,a2a26443465ab6978b32d9253e833471500e7b68,tests/test_pubsub.py::TestPubsub::test_unsubscribe_all,victim,tests/test_pubsub.py::TestPubsub::test_idletime,tests/test_pubsub.py::TestPubsub::test_destroy,Tale/ipflakies_result/4d4fddac/patch/test_pubsub_patch_44829275.patch,a2a26443465ab6978b32d9253e833471500e7b68
alphanum_code,https://github.com/ylaizet/alphanum_code,fb5cd313dc41f046aac01ff01d6e1561d17894a6,tests/test_alphanum_code.py::test_next_code,brittle,tests/test_alphanum_code.py::test_init_code,,alphanum_code/ipflakies_result/690d14c3/patch/test_alphanum_code_patch_e32586eb.patch,fb5cd313dc41f046aac01ff01d6e1561d17894a6
autoclasswrapper,https://github.com/pierrepo/autoclasswrapper,af43dd833e5586386098d1793a59332e968069da,tests/test_output.py::TestOutputClass::test_write_dendrogram,brittle,tests/test_output.py::TestOutputClass::test_write_cluster_stats,,autoclasswrapper/ipflakies_result/4a848dd6/patch/test_output_patch_0f600afc.patch,af43dd833e5586386098d1793a59332e968069da
autodiscover,https://github.com/nicolaszein/autodiscover,3009f81c51b7a4cb077427e429d740db98eb173b,tests/test_autodiscover.py::TestAutoDiscover::test_autodiscover_with_pattern,brittle,tests/test_autodiscover.py::TestAutoDiscover::test_autodiscover,,autodiscover/ipflakies_result/20a8783c/patch/test_autodiscover_patch_b4e13c82.patch,ac470c758afa11b8008c20c5eead29219720d329
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_create_document,victim,examples/test_pytest.py::test_index,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/c4d340dc/patch/test_autodoc_patch_031b4820.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_gen_each_case.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_gen_each_case.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_create_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_ac7fa065.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_gen_each_case.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_gen_each_case.py::TestUnittest::test_get,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_gen_each_case.py::TestUnittest::test_get,tests/test_autodoc.py::TestAutodoc::test_create_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_ac7fa065.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_gen_each_case.py::TestUnittest::test_get,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_gen_each_case.py::TestUnittest::test_post,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_gen_each_case.py::TestUnittest::test_post,tests/test_autodoc.py::TestAutodoc::test_create_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_ac7fa065.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_gen_each_case.py::TestUnittest::test_post,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_pytest.py::test_index,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_pytest.py::test_index,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_pytest.py::test_post,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_pytest.py::test_post,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_requests.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_requests.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_create_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_ac7fa065.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_requests.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_requests.py::TestUnittest::test_get,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_requests.py::TestUnittest::test_get,tests/test_autodoc.py::TestAutodoc::test_create_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_ac7fa065.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_requests.py::TestUnittest::test_get,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_requests.py::TestUnittest::test_post,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_requests.py::TestUnittest::test_post,tests/test_autodoc.py::TestAutodoc::test_create_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_ac7fa065.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_requests.py::TestUnittest::test_post,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_unittest.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_unittest.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_create_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_ac7fa065.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_unittest.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_unittest.py::TestUnittest::test_get,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_unittest.py::TestUnittest::test_get,tests/test_autodoc.py::TestAutodoc::test_create_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_ac7fa065.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_unittest.py::TestUnittest::test_get,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_unittest.py::TestUnittest::test_post,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_unittest.py::TestUnittest::test_post,tests/test_autodoc.py::TestAutodoc::test_create_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_ac7fa065.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,examples/test_unittest.py::TestUnittest::test_post,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,tests/test_not_generate.py::TestAutodocNotGenerate::test_should_not_generate,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_fce4d8dc.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,tests/test_not_generate.py::TestAutodocNotGenerate::test_should_not_generate,tests/test_autodoc.py::TestAutodoc::test_create_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_ac7fa065.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_response,victim,tests/test_not_generate.py::TestAutodocNotGenerate::test_should_not_generate,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/8fdce11a/patch/test_autodoc_patch_031b4820.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_responses,victim,examples/test_gen_each_case.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/66ce5772/patch/test_autodoc_patch_fce4d8dc.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_responses,victim,examples/test_gen_each_case.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_create_document,py-autodoc/ipflakies_result/66ce5772/patch/test_autodoc_patch_ac7fa065.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_responses,victim,examples/test_gen_each_case.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/66ce5772/patch/test_autodoc_patch_031b4820.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_responses,victim,examples/test_gen_each_case.py::TestUnittest::test_get,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/66ce5772/patch/test_autodoc_patch_fce4d8dc.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_responses,victim,examples/test_gen_each_case.py::TestUnittest::test_get,tests/test_autodoc.py::TestAutodoc::test_create_document,py-autodoc/ipflakies_result/66ce5772/patch/test_autodoc_patch_ac7fa065.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_responses,victim,examples/test_gen_each_case.py::TestUnittest::test_get,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/66ce5772/patch/test_autodoc_patch_031b4820.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_responses,victim,examples/test_gen_each_case.py::TestUnittest::test_post,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/66ce5772/patch/test_autodoc_patch_fce4d8dc.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_responses,victim,examples/test_gen_each_case.py::TestUnittest::test_post,tests/test_autodoc.py::TestAutodoc::test_create_document,py-autodoc/ipflakies_result/66ce5772/patch/test_autodoc_patch_ac7fa065.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_responses,victim,examples/test_gen_each_case.py::TestUnittest::test_post,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/66ce5772/patch/test_autodoc_patch_031b4820.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_responses,victim,examples/test_pytest.py::test_index,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/66ce5772/patch/test_autodoc_patch_fce4d8dc.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_responses,victim,examples/test_pytest.py::test_index,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/66ce5772/patch/test_autodoc_patch_031b4820.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_responses,victim,examples/test_pytest.py::test_post,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/66ce5772/patch/test_autodoc_patch_fce4d8dc.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_responses,victim,examples/test_pytest.py::test_post,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/66ce5772/patch/test_autodoc_patch_031b4820.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_responses,victim,examples/test_requests.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_clear_responses,py-autodoc/ipflakies_result/66ce5772/patch/test_autodoc_patch_fce4d8dc.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_responses,victim,examples/test_requests.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_create_document,py-autodoc/ipflakies_result/66ce5772/patch/test_autodoc_patch_ac7fa065.patch,a31c36bb19da26931424ee7e118daae5543352b0
py-autodoc,https://github.com/heavenshell/py-autodoc,001d5ff03d41a5d714075eb08e666c413d50f0ac,tests/test_autodoc.py::TestAutodoc::test_parse_responses,victim,examples/test_requests.py::TestUnittest::test_foo_bar,tests/test_autodoc.py::TestAutodoc::test_create_markdown_document,py-autodoc/ipflakies_result/66ce5772/patch/test_autodoc_patch_031b4820.patch,a31c36bb19da26931424ee7e118daae5543352b0
